,songtext
The Beatles,"I read the news today, oh boy
About a lucky man who made the grade
And though the news was rather sad
Well, I just had to laugh
I saw the photograph

He blew his mind out in a car
He didn't notice that the lights had changed
A crowd of people stood and stared
They'd seen his face before
Nobody was really sure if he was from the House of Lords

I saw a film today, oh boy
The English Army had just won the war
A crowd of people turned away
But I just had to look
Having read the book
I'd love to turn you on

Woke up, fell out of bed
Dragged a comb across my head
Found my way downstairs and drank a cup
And looking up, I noticed I was late
Found my coat and grabbed my hat
Made the bus in seconds flat
Found my way upstairs and had a smoke
And somebody spoke and I went into a dream

I read the news today, oh boy
Four thousand holes in Blackburn, Lancashire
And though the holes were rather small
They had to count them all
Now they know how many holes it takes to fill the Albert Hall
I'd love to turn you on"
The Beatles,"""Dub the mic on the piano quite low this
Just keeping it like maracas, you know
You know those old pianos""

""Ok, we're on""

""Sugarplum fairy, sugarplum fairy""

I read the news today, oh boy
About a lucky man who made the grade
And though the news was rather sad
Well, I just had to laugh
I saw the photograph

He blew his mind out in a car
He didn't notice that the lights had changed
A crowd of people stood and stared
They'd seen his face before
Nobody was really sure if he was from the House of Lords

I saw a film today, oh boy
The English Army had just won the war
A crowd of people turned away
But I just had to look
Having read the book
I'd love to turn you on

""Five, six, seven, eight, nine
Ten, eleven, twelve, thirteen, fourteen
Fifteen, sixteen, seventeen, eighteen, nineteen
Twenty""

Woke up, fell out of bed
Dragged a comb across my head
Found my way downstairs and drank a cup
And looking up I noticed I was late
Found my coat and grabbed my hat
Made the bus in seconds flat
Made my way upstairs and had a smoke
And everybody spoke and I went into a dream

""Oh shit""

I read the news today, oh boy
Four thousand holes in Blackburn, Lancashire
And though the holes were rather small
They had to count them all
Now they know how many holes it takes to fill the Albert Hall
I'd love to turn you

""See the worst thing about doing this
Doing something like this
Is I think that at first people sort of are a bit suspicious
'You know, come on, what are you up to?'"
The Beatles,"It's been a hard day's night, and I've been working like a dog
It's been a hard day's night, I should be sleeping like a log
But when I get home to you I'll find the things that you do
Will make me feel alright

You know I work all day to get you money to buy you things
And it's worth it just to hear you say you're going to give me everything
So why on earth should I moan, 'cause when I get you alone
You know I feel ok

When I'm home everything seems to be right
When I'm home feeling you holding me tight, tight, yeah

It's been a hard day's night, and I've been working like a dog
It's been a hard day's night, I should be sleeping like a log
But when I get home to you I'll find the things that you do
Will make me feel alright, oww

So why on earth should I moan, 'cause when I get you alone
You know I feel ok

When I'm home everything seems to be right
When I'm home feeling you holding me tight, tight, yeah

Oh, it's been a hard day's night, and I've been working like a dog
It's been a hard day's night, I should be sleeping like a log
But when I get home to you I'll find the things that you do
Will make me feel alright
You know I feel alright
You know I feel alright"
The Beatles,"All I've got is a picture of you
Now that you've gone and left me blue
You don't hear me cry at night
And say sweet things to you
You don't hear me sing a love song to
A picture of you

I pretend that you're still here with me
Laughing just the way we used to be
But pictures they can't talk and they can't see
I know I'm in love and nothing more
Nothing more

I hope you'll be happy where you are
But if you need me I won't be to far
Standing in the shadow of my dreams
They say it's not as bad as it may seem
But they don't lie awake at night and cry the way I do
They don't realise that all I got
Is a picture of you"
The Beatles,"Well, if your hands start a-clappin' 
And your fingers start a-poppin' 
And your feet start a-movin' around 
And if you start to swing and sway 

When the band starts to play 
A real cool way out sound 
And if you get to can't help it and you can't sit down 
You feel like you gotta move around 

You get a shot of rhythm and blues. 
With just a little rock and roll on the side 
Just for good measure. 
Get a pair of dancin' shoes 

Well, with your lover by your side 
Don't you know you're gonna have a rockin' time, see'mon! 
Don't you worry 'bout a thing 
If you start to dance and sing 

And chills come up on you 
And if the rhythm finally gets you and the beat gets you too 
Well, here's something for you to do 

Get a shot of rhythm and blues 
With just a little rock and roll on the side 
Just for good measure 
Get a pair of dancin' shoes 

Well, with your lover by your side 
Don't you know you're gonna have a rockin' time, see'mon! 
Don't you worry 'bout a thing 
If you start to dance and sing 

And chills come up on you 
And if the rhythm finally gets you and the beat gets you too 
Well, here's something for you to do 

Get a shot of rhythm and blues 
Get a pair of dancin' shoes 
Get a shot of rhythm and blues 
Well, with your lover by your side 

Don't you know you're gonna have a rockin' time, see'mon! 
Don't you worry 'bout a thing 
If you start to dance and sing 
And chills come up on you 

And if the rhythm finally gets you and the beat gets you too 
Well, here's something for you to do 
Well, here's something for you to do 
Well, here's something for you to do"
The Beatles,"A taste of honey
Tasting much sweeter than wine

Do do do
Do do do

I dream of your first kiss, and then
I feel upon my lips again
A taste of honey (a taste of honey)
Tasting much sweeter than wine

Oh, I will return, yes, I will return
I'll come back for the honey and you

Do do do
Do do do

Yours was the kiss that awoke my heart
There lingers still, though we're far apart
That taste of honey, a taste of honey
Tasting much sweeter than wine

Oh, I will return, yes, I will return
I'll come back (he'll come back)
For the honey (for the honey)
And you"
The Beatles,"A taste of honey... tasting much sweeter than wine. 

I dream of your first kiss, and then, 
I feel upon my lips again, 
A taste of honey...tasting much sweeter than wine. 

I will return, yes I will return, 
I'll come back for the honey and you. 

Yours was the kiss that awoke my heart, 
There lingers still, 'though we're far apart, 
That taste of honey...tasting much sweeter than wine. 

I will return, yes I will return, 
I'll come back (he'll come back) for the honey (for the honey) and you."
The Beatles,"Words are flowing out
Like endless rain into a paper cup
They slither while they pass
They slip away across the universe
Pools of sorrow, waves of joy
Are drifting through my opened mind
Possessing and caressing me

Jai Guru Deva, Om
Nothing's gonna change my world
Nothing's gonna change my world
Nothing's gonna change my world
Nothing's gonna change my world

Images of broken light
Which dance before me like a million eyes
They call me on and on across the universe
Thoughts meander like a restless wind inside a letter box
They tumble blindly as they make their way across the universe

Jai Guru Deva, Om
Nothing's gonna change my world
Nothing's gonna change my world
Nothing's gonna change my world
Nothing's gonna change my world

Sounds of laughter, shades of life
Are ringing through my open ears
Inciting and inviting me
Limitless, undying love
Which shines around me like a million suns
It calls me on and on across the universe

Jai Guru Deva, Om
Nothing's gonna change my world
Nothing's gonna change my world
Nothing's gonna change my world
Nothing's gonna change my world

Jai Guru Deva
Jai Guru Deva
Jai Guru Deva
Jai Guru Deva
Jai Guru Deva
Jai Guru Deva"
The Beatles,"They're gonna put me in the movies
They're gonna make a big star out of me
We'll make a film about a man that's sad and lonely
And all I gotta do is act naturally

Well, I'll bet you I'm gonna be a big star
Might win an Oscar, you can never tell
The movies gonna make me a big star
'Cause I can play the part so well

Well, I hope you come and see me in the movies
Then I know that you will plainly see
The biggest fool that ever hit the big time
And all I gotta do is act naturally

We'll make the scene about a man that's sad and lonely
And beggin' down upon his bended knee
I'll play the part but I won't need rehearsing
All I have to do is act naturally

Well, I'll bet you I'm gonna be a big star
Might win an Oscar, you can never tell
The movies gonna make me a big star
'Cause I can play the part so well

Well, I hope you come and see me in the movies
Then I know that you will plainly see
The biggest fool that ever hit the big time
And all I gotta do is act naturally"
The Beatles,"Oh, ain't she sweet?
Well, see her walking down that street
Yes, I ask you very confidentially
Ain't she sweet?

Oh, ain't she nice?
Well, look her over once or twice
Yes, I ask you very confidentially
Ain't she nice?

Just cast an eye
In her direction
Oh me oh my
Ain't that perfection?

Oh, I repeat
Well, don't you think that's kind of neat?
Yes, I ask you very confidentially
Ain't she sweet?

Oh, ain't she sweet?
Well, see her walking down that street
Well, I ask you very confidentially
Ain't she sweet?

Oh, ain't that nice?
Well, look it over once or twice
Yes, I ask you very confidentially
Ain't she nice?

Just cast an eye
In her direction
Oh me oh my
Ain't that perfection?

Oh, I repeat
Well, don't you think that's kind of neat?
Yes, I ask you very confidentially
Ain't she sweet?

Oh, ain't she sweet?
Well, see her walking down that street
Well, I ask you very confidentially
Ain't she sweet?
Well, I ask you very confidentially
Ain't she sweet?"
The Beatles,"Oh ain't she sweet,
Well see her walking down that street.
Yes I ask you very confidentially,
Ain't she sweet?

Oh ain't she nice,
Well look her over once or twice.
Yes I ask you very confidentially,
Ain't she nice?

Just cast an eye
In her direction.
Oh me oh my,
Ain't that perfection?

Oh I repeat
Well don't you think that's kind of neat?
Yes I ask you very confidentially,
Ain't she sweet?

Oh ain't she sweet,
Well see her walking down that street.
Well I ask you very confidentially,
Ain't she sweet?

Oh ain't that nice,
Well look it over once or twice.
Yes I ask you very confidentially,
Ain't she nice?

Just cast an eye
In her direction.
Oh me oh my,
Ain't that perfection?

Oh I repeat
Well don't you think that's kind of neat?
Yes I ask you very confidentially,
Ain't she sweet?

Oh ain't she sweet,
Well see her walking down that street.
Well I ask you very confidentially,
Ain't she sweet?
Well I ask you very confidentially,
Ain't she sweet?"
The Beatles,"Whenever I want you around, yeah
All I gotta do
Is call you on the phone
And you'll come running home
Yeah, that's all I gotta do

And when I, I wanna kiss you, yeah
All I gotta do
Is whisper in your ear
The words you long to hear
And I'll be kissing you

And the same goes for me
Whenever you want me at all
I'll be here, yes, I will
Whenever you call
You just gotta call on me, yeah
You just gotta call on me

And when I, I wanna kiss you, yeah
All I gotta do
Is call you on the phone
And you'll come running home
Yeah, that's all I gotta do

And the same goes for me
Whenever you want me at all
I'll be here, yes, I will
Whenever you call
You just gotta call on me, yeah
You just gotta call on me

Oh, you just gotta call on me"
The Beatles,"Close your eyes and I'll kiss you
Tomorrow I'll miss you
Remember I'll always be true
And then while I'm away
I'll write home every day
And I'll send all my lovin' to you

I'll pretend that I'm kissing
The lips I am missing
And hope that my dreams will come true
And then while I'm away
I'll write home every day
And I'll send all my lovin' to you

All my lovin', I will send to you
All my lovin', darlin', I'll be true

Close your eyes and I'll kiss you
Tomorrow I'll miss you
Remember I'll always be true
And then while I'm away
I'll write home every day
And I'll send all my loving to you

All my lovin', I will send to you
All my lovin', darlin', I'll be true
All my lovin', all my lovin'
Ooh ooh, all my lovin', I will send to you"
The Beatles,"Sunrise doesn't last all morning, 
A cloudburst doesn't last all day. 
Seems my love is up 
And has left you with no warning.
It's not always been this grey. 

All things must pass, 
All things must pass away. 

Sunset doesn't last all evening, 
A mind can blow those clouds away. 
After all this my love is up 
And must be leaving. 
It has not always been this grey. 

All things must pass, 
All things must pass away. 

All things must pass 
None of life's strings can last. 
So I must be on my way, 
Face another day. 

Darkness only stays at nighttime, 
In the morning it will fade away. 
Daylight is good 
At arriving at the right time. 
It's not always 
Will to be this grey. 

All things must pass, 
All things must pass away. 
All things must pass, 
All things must pass away."
The Beatles,"One, two, three, four
Can I have a little more?
Five, six, seven, eight, nine, ten
I love you

A B C D
Can I bring my friend to tea?
E F G H I J
I love you

Bom bom bom bompa bom
Sail the ship, bompa bom
Chop the tree, bompa bom
Skip the rope, bompa bom
Look at me

All together now
All together now
All together now
All together now
All together now
All together now
All together now
All together now

Black, white, green, red
Can I take my friend to bed?
Pink, brown, yellow, orange, and blue
I love you

All together now
All together now
All together now
All together now
All together now
All together now
All together now
All together now
All together now
All together now
All together now
All together now
All together now
All together now
All together now

Bom bom bom bompa bom
Sail the ship, bompa bom
Chop the tree, bompa bom
Skip the rope, bompa bom
Look at me

All together now
All together now
All together now
All together now
All together now
All together now
All together now
All together now
All together now
All together now
All together now
All together now
All together now
All together now
All together now
All together now
All together now
All together now
All together now
All together now
All together now
All together now
All together now
All together now"
The Beatles,"Love, love, love
Love, love, love
Love, love, love

There's nothing you can do that can't be done
Nothing you can sing that can't be sung
Nothing you can say, but you can learn how to play the game
It's easy
Nothing you can make that can't be made
No one you can save that can't be saved
Nothing you can do, but you can learn how to be you in time
It's easy

All you need is love
All you need is love
All you need is love, love
Love is all you need

All you need is love
All you need is love
All you need is love, love
Love is all you need

There's nothing you can know that isn't known
Nothing you can see that isn't shown
There's nowhere you can be that isn't where you're meant to be
It's easy

All you need is love
All you need is love
All you need is love, love
Love is all you need

All you need is love (all together now)
All you need is love (everybody)
All you need is love, love
Love is all you need

Love is all you need
(Love is all you need)
Love is all you need
(Love is all you need)
Love is all you need
(Love is all you need)
Love is all you need
(Love is all you need)
Love is all you need
(Love is all you need)
Love is all you need
(Love is all you need)
Love is all you need
(Love is all you need)
Love is all you need
(Love is all you need)
Love is all you need
(Love is all you need)
Love is all you need
(Love is all you need)
Love is all you need
(Love is all you need)
(Love is all you need)
(Love is all you need)
(Love is all you need)
Yesterday
(Love is all you need)
Oh
Love is all you need
Love is all you need
Oh yeah
Love is all you need
(She love you, yeah, yeah, yeah)
(She love you, yeah, yeah, yeah)
(Love is all you need)
(Love is all you need)"
The Beatles,"Love, love, love.
Love, love, love.
Love, love, love.

There's nothing you can do that can't be done.
Nothing you can sing that can't be sung.
Nothing you can say but you can learn how to play the game.
It's easy.

Nothing you can make that can't be made.
No one you can save that can't be saved.
Nothing you can do but you can learn how to be you in time.
It's easy.

All you need is love.
All you need is love.
All you need is love, love.
Love is all you need.

All you need is love.
All you need is love.
All you need is love, love.
Love is all you need.

Nothing you can know that isn't known.
Nothing you can see that isn't shown.
Nowhere you can be that isn't where you're meant to be.
It's easy.

All you need is love.
All you need is love.
All you need is love, love.
Love is all you need.

All you need is love (all together, now!)
All you need is love. (everybody!)
All you need is love, love.
Love is all you need (love is all you need).

Yee-hai!
Oh yeah!
She loves you, yeah yeah yeah.
She loves you, yeah yeah yeah."
The Beatles,"Love, love, love
Love, love, love
Love, love, love

There's nothing you can do that can't be done
Nothing you can sing that can't be sung
Nothing you can say but you can learn how to play the game
It's easy

Nothing you can make that can't be made
No one you can save that can't be saved
Nothing you can do but you can learn how to be you in time
It's easy

All you need is love
All you need is love
All you need is love, love
Love is all you need

All you need is love
All you need is love
All you need is love, love
Love is all you need

Nothing you can know that isn't known
Nothing you can see that isn't shown
Nowhere you can be that isn't where you're meant to be
It's easy

All you need is love
All you need is love
All you need is love, love
Love is all you need

All you need is love (All together, now!)
All you need is love (Everybody!)
All you need is love, love
Love is all you need (love is all you need)

Yee-hai!
Oh yeah!
She loves you, yeah yeah yeah
She loves you, yeah yeah yeah"
The Beatles,"I give her all my love
That's all I do
And if you saw my love
You'd love her, too
I love her

She gives my everything
And tenderly
The kiss my lover brings
She brings to me
And I love her

A love like ours
Could never die
As long as I
Have you near me

Bright are the stars that shine
Dark is the sky
I know this love of mine
Will never die
And I love her

Bright are the stars that shine
Dark is the sky
I know this love of mine
Will never die
And I love her"
